sample_id,energy_gj_tco2,clean_addition_growth_rate,aether_clean_share,clean_deliverability_fraction,robot_output_growth_rate,aether_robot_share,robots_per_mtco2_y_capacity,storage_terminal_gtco2_y,cost_usd_tco2,annual_budget_trillion_usd,durability_fraction_100y,residual_emissions_2046_gtco2_y,rebound_fraction_of_gross,gross_overbuild_factor,execution_realization_fraction,clean_energy_available_twh_y,energy_limited_capacity_gtco2_y,robots_in_service_for_aether,robot_limited_capacity_gtco2_y,storage_capacity_gtco2_y,budget_limited_capacity_gtco2_y,program_execution_capacity_gtco2_y,gross_capacity_gtco2_y,durable_100y_credit_gtco2_y,rebound_gtco2_y,net_after_emissions_and_rebound_gtco2_y,binding_constraint,gross_100_pass,durable_100_pass,positive_climate_reversal_pass,strong_reversal_pass
1,2.3568904767353898,0.17939914448281508,0.5343780508442941,0.8648743436155985,0.17383998543118723,0.31747983406042746,74.79016078226027,73.58785435398826,93.43221826088705,9.247072408207588,0.8054149707413567,15.469300402388075,0.3031409457175601,1.0945183573669095,0.978378140143845,67839.0982442444,103.61989922313165,20715857.08685543,276.98639594005385,73.58785435398826,98.97091795880685,107.08528348339333,73.58785435398826,59.268759561436674,22.307491762194076,21.49196739685452,storage,0.0,0.0,1.0,0.0
2,2.043973366671428,0.15652518983665725,0.5188392322079269,0.9434034056203435,0.1508007669848255,0.3314822389101649,189.50304086119002,100.65905943762333,151.14800620458942,10.164103623376818,0.8563956376266901,22.50675238553665,0.025491240185919212,1.1779961492402633,0.6857206317624087,53682.6027762337,94.54984744207177,15359180.37331012,81.04978317767808,100.65905943762333,67.24603174466615,80.7776263670718,67.24603174466615,57.589208233838015,1.714184746753233,33.36827110154813,budget,0.0,0.0,1.0,0.0
3,1.8354231377005896,0.19933608333317623,0.73014404875925,0.8550527523050675,0.1936489580330536,0.22287738031656235,166.75503493346966,115.28820622212498,138.09383109518689,6.996804818318708,0.9004916597344309,11.416584421191937,0.18964550007372966,1.16269847190842,0.9873980875494703,118395.8022518113,232.22159476560452,19445296.76581178,116.60995287830366,115.28820622212498,50.66703387710252,114.80462475590653,50.66703387710252,45.62524142981268,9.608774976875708,24.59988203174504,budget,0.0,0.0,1.0,0.0
4,2.6099362438408775,0.07464819025840552,0.39493245311751213,0.7489055769110086,0.3211315059594706,0.3255450255850801,237.51283079006674,69.19097534882695,103.86275786020093,11.627808325721078,0.8353147144104939,23.76142074830961,0.5729619353021042,1.223144598036141,0.9452059828318355,11905.798180628017,16.422191749475548,169957445.90000236,715.5716402126698,69.19097534882695,111.95358726534188,115.61235919322012,16.422191749475548,13.717698411207536,9.409290766681758,-19.45301310378383,clean_energy,0.0,0.0,0.0,0.0
5,3.926190523184769,0.1512901011713003,0.6270270148452757,0.8189924440913503,0.22310817830460516,0.3439850803988198,23.817677745456194,101.10641612418162,49.57463055916738,10.09556366891093,0.8227754860940555,22.446194815162688,0.3271869768201356,1.1232316686985704,0.9301404977547417,52712.2423536874,48.33287415694377,45932871.070880346,1928.520133733154,101.10641612418162,203.64374993903107,104.47632634171774,48.33287415694377,39.76710402880222,15.813886976438491,1.5070222372010438,clean_energy,0.0,0.0,1.0,0.0
6,2.515065762407244,0.18000474116276483,0.5373182130036205,0.593252932194106,0.27584333007901984,0.29574557689148767,133.87285782543626,115.57102443663535,74.8958238755223,6.032068790233332,0.8168243140920135,15.316774757796285,0.4924689660911149,1.235683199384778,0.887575034097214,47153.98785848774,67.4949970803463,83047497.31469193,620.3460407409982,115.57102443663535,80.53945437944175,109.67615578272991,67.4949970803463,55.131554694796314,33.23919142848096,6.575588508519068,clean_energy,0.0,0.0,1.0,0.0
7,3.420854212118793,0.1382036431072993,0.6092341830692509,0.666436186585823,0.1458047364218597,0.19862496381597622,226.17401345195242,89.99228580502658,75.22197681561619,8.071646942005268,0.8620485809590325,16.564282136754574,0.5127152317762105,1.2198304929165904,0.7977291316601226,35352.49599460176,37.20386128403264,8539259.733915187,37.7552646459503,89.99228580502658,107.30437145769855,97.3094319886891,37.20386128403264,32.071535826097026,19.07498636121278,-3.5677326718703277,clean_energy,0.0,0.0,0.0,0.0
8,2.5785753350177925,0.05031797740534312,0.3725573135798689,0.7406646500595702,0.17447128171913373,0.3181675614758524,67.31931744670493,100.9985549019383,32.01116550590569,10.898141766520125,0.8282028847829703,17.047156532550325,0.06040403504539045,1.2796836370007403,0.9004115094970093,8407.810350122345,11.738310240306237,20954967.060866036,311.2771765319156,100.9985549019383,340.44814033745644,115.22418752704594,11.738310240306237,9.721702403499107,0.7090413031291236,-8.034495432180343,clean_energy,0.0,0.0,0.0,0.0
9,3.6422589380263344,0.12420614716286049,0.5255628255852905,0.6586735103097326,0.3406959664200091,0.2653353412809985,122.34554387985816,116.12135743119077,94.52492144672091,5.939690521148215,0.8653361375752832,23.094423455996974,0.1141400930175431,1.269180458371899,0.962679496779901,25321.784609976094,25.027991185412763,180173115.64890078,1472.6577686051942,116.12135743119077,62.83729655883533,122.18140049883438,25.027991185412763,21.657625223653312,2.8566972419452616,-4.293495474288924,clean_energy,0.0,0.0,0.0,0.0
10,2.1738584133474967,0.09746949884547897,0.47040645677050597,0.7203716243362648,0.22593705426884786,0.11900533383739358,182.2804390172689,45.5995038816627,119.63458345802773,4.506221027994195,0.9154344362455572,15.465083891565314,0.3400839036652361,1.154607438678522,0.9106959394305958,17881.199273825932,29.612010143129446,16547300.57992627,90.77935443395883,45.5995038816627,37.66654171178809,105.14963060408905,29.612010143129446,27.107853811473426,10.07056800485003,1.5722019150580824,clean_energy,0.0,0.0,1.0,0.0
