"scenario","display_name","year","years_from_2026","planned_capacity_gtco2_y","actual_gross_removal_gtco2_y","durable_credit_gtco2_y","binding_constraint","clean_generation_available_twh_y","energy_limited_capacity_gtco2_y","robots_in_service_for_aether","robot_limited_capacity_gtco2_y","storage_limited_capacity_gtco2_y","budget_limited_capacity_gtco2_y","learned_cost_usd_tco2","annual_cost_trillion_usd","energy_twh_y","average_power_tw","residual_emissions_gtco2_y","rebound_or_delayed_abatement_gtco2_y","net_after_emissions_rebound_gtco2_y","cumulative_gross_removal_gtco2","cumulative_durable_credit_gtco2","cumulative_net_after_emissions_rebound_gtco2","cumulative_energy_twh","cumulative_cost_trillion_usd","scenario_interpretation"
"linear_reference_2046","Linear 2046 reference","2026","0","0","0","0","startup","467.5","0.561","189726.6","3.794532","0","30","300","0","0","0","42.2","0","-42.2","0","0","-42.2","0","0","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2027","1","5","1.20615","1.02402135","clean_energy","1005.125","1.20615","426884.85","8.537697","4.51968121149161","107.142857142857","84","0.1013166","1005.125","0.114740296803653","40.84","0.1809225","-39.99690115","1.20615","1.02402135","-82.19690115","1005.125","0.1013166","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2028","2","10","1.9480725","1.6539135525","clean_energy","1623.39375","1.9480725","723332.6625","14.46665325","9.35813485040433","107.142857142857","84","0.16363809","1623.39375","0.185318921232877","39.48","0.292210875","-38.1182973225","3.1542225","2.6779349025","-120.3151984725","2628.51875","0.26495469","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2029","3","15","2.801283375","2.378289585375","clean_energy","2334.4028125","2.801283375","1093892.428125","21.8778485625","14.3246863350194","107.142857142857","84","0.2353078035","2334.4028125","0.266484339326484","38.12","0.42019250625","-36.161902920875","5.955505875","5.056224487875","-156.477101393375","4962.9215625","0.5002624935","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2030","4","20","3.78247588125","3.21132202318125","clean_energy","3152.063234375","3.78247588125","1557092.13515625","31.141842703125","19.3762975264024","107.142857142857","84","0.317727974025","3152.063234375","0.359824570134132","36.76","0.5673713821875","-34.1160493590063","9.73798175625","8.26754651105625","-190.593150752381","8114.984796875","0.817990467525","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2031","5","25","4.9108472634375","4.16930932665844","clean_energy","4092.37271953125","4.9108472634375","2136091.76894531","42.7218353789062","24.4921160278412","107.142857142857","84","0.41251117012875","4092.37271953125","0.467165835562928","35.4","0.736627089515625","-31.9673177628572","14.6488290196875","12.4368558377147","-222.560468515238","12207.3575164062","1.23050163765375","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2032","6","30","6.20847435295312","5.2709947256572","clean_energy","5173.72862746094","6.20847435295312","2859841.31118164","57.1968262236328","29.6596906153509","107.142857142857","84","0.521511845648062","5173.72862746094","0.590608290806043","34.04","0.931271152942968","-29.7002764272858","20.8573033726406","17.7078505633719","-252.260744942524","17381.0861438672","1.75201348330181","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2033","7","35","7.70074550589609","6.53793293450578","clean_energy","6417.28792158008","7.70074550589609","3764528.23897705","75.290564779541","34.870706429641","107.142857142857","84","0.646862622495272","6417.28792158008","0.732567114335625","32.68","1.15511182588441","-27.2971788913786","28.5580488785367","24.2457834978777","-279.557923833903","23798.3740654473","2.39887610579708","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2034","8","40","9.41685733178051","7.99491187468165","clean_energy","7847.38110981709","9.41685733178051","4705660.29872131","94.1132059744263","40.1192023659976","107.142857142857","84","0.791016015869562","7847.38110981709","0.895819761394645","31.32","1.41252859976708","-24.7376167250854","37.9749062103172","32.2406953725593","-304.295540558988","31645.7551752644","3.18989212166665","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
"linear_reference_2046","Linear 2046 reference","2035","9","45","11.3903859315476","9.6704376558839","clean_energy","9491.98827628965","11.3903859315476","5882075.37340164","117.641507468033","45.4006884545227","107.142857142857","84","0.956792418249997","9491.98827628965","1.08356030551252","29.96","1.70855788973214","-21.9981202338482","49.3652921418648","41.9111330284432","-326.293660792837","41137.743451554","4.14668453991664","A straight 20-year ramp with strong but not magical energy, storage, robotics, and budget assumptions."
