integration_scope,integration_note,scenario,display_name,year,years_from_2026,planned_linear_target_gtco2_y,actual_capacity_gtco2_y,binding_constraint,clean_energy_available_twh_y,energy_limited_capacity_gtco2_y,robots_in_service_for_aether,robot_limited_capacity_gtco2_y,storage_limited_capacity_gtco2_y,budget_limited_capacity_gtco2_y,learning_basis,learning_reference_cumulative_production_gtco2,cumulative_realized_production_at_start_gtco2,learning_doublings_from_realized_production,learned_cost_usd_tco2,annual_cost_trillion_usd,emissions_gtco2_y,rebound_gtco2_y,net_removal_after_emissions_and_rebound_gtco2_y,cumulative_realized_production_at_end_gtco2
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2026,0,0.0,0.0,startup,127.5,0.07650000000000001,54207.600000000006,0.18069200000000002,0.0,4.0,cumulative_realized_removal_gtco2,0.00204,0.00204,0.0,500.0,0.0,42.2,0.0,-42.2,0.00204
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2027,1,5.0,0.15759,clean_energy,262.65,0.15759,114920.11200000002,0.3830670400000001,0.32467325494179095,4.0,cumulative_realized_removal_gtco2,0.00204,0.00204,0.0,500.0,0.078795,41.99,0.0709155,-41.9033255,0.15963
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2028,2,10.0,0.24354540000000005,clean_energy,405.90900000000005,0.24354540000000005,182918.12544000003,0.6097270848000002,0.8870334730839388,7.760245655496062,cumulative_realized_removal_gtco2,0.00204,0.15963,6.290018846932618,257.72380009433516,0.06276744598349492,41.78,0.10959543000000002,-41.64605003,0.4031754000000001
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2029,3,15.0,0.33465812400000006,clean_energy,557.76354,0.33465812400000006,259075.90049280005,0.8635863349760001,1.596880193642763,8.93384472401709,cumulative_realized_removal_gtco2,0.00204,0.4031754000000001,7.626694652158058,223.8677816532167,0.07491917183210713,41.57,0.15059615580000002,-41.3859380318,0.7378335240000001
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2030,4,20.0,0.43123761144000006,clean_energy,718.7293524,0.43123761144000006,344372.6085519361,1.1479086951731203,2.423446866642654,9.793406790935366,cumulative_realized_removal_gtco2,0.00204,0.7378335240000001,8.498582377992886,204.21902640163694,0.08806692515604422,41.36,0.19405692514800002,-41.122819313708,1.1690711354400003
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2031,5,25.0,0.5336118681264,clean_energy,889.353113544,0.5336118681264,439904.92157816846,1.4663497385938948,3.349292070425916,10.503077276066197,cumulative_realized_removal_gtco2,0.00204,1.1690711354400003,9.162577849866237,190.4203832297306,0.10161057642456156,41.150000000000006,0.24012534065688002,-40.85651347253049,1.7026830035664005
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2032,6,30.0,0.6421285802139841,clean_energy,1070.21430035664,0.6421285802139841,546901.1121675487,1.8230037072251624,4.362805259459537,11.11111111111111,cumulative_realized_removal_gtco2,0.00204,1.7026830035664005,9.705024999218915,180.0,0.11558314443851714,40.940000000000005,0.28895786109629285,-40.58682928088231,2.3448115837803845
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2033,7,35.0,0.7571562950268231,clean_energy,1261.9271583780385,0.7571562950268231,666736.8456276546,2.2224561520921817,5.455551665095871,11.11111111111111,cumulative_realized_removal_gtco2,0.00204,2.3448115837803845,10.166687132789491,180.0,0.13628813310482818,40.730000000000004,0.3407203327620704,-40.31356403773525,3.1019678788072076
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2034,8,40.0,0.8790856727284327,clean_energy,1465.142787880721,0.8790856727284327,746745.2671029733,2.4891508903432444,6.621051959878333,11.11111111111111,cumulative_realized_removal_gtco2,0.00204,3.1019678788072076,10.570398879662827,180.0,0.1582354210911179,40.52,0.39558855272779475,-40.03650287999937,3.9810535515356404
partially_coupled_screening,"Joint screen of this model's planned capacity, clean-energy, robot, storage, budget, emissions, and rebound assumptions only; it does not establish a common feasible scenario with the separate regional, lifecycle, MRV, or field-productivity screens.",reference_extrapolation,Reference extrapolation,2035,9,45.0,1.0083308130921387,clean_energy,1680.5513551535641,1.0083308130921387,836354.6991553301,2.7878489971844336,7.854131235126621,11.11111111111111,cumulative_realized_removal_gtco2,0.00204,3.9810535515356404,10.930365410580153,180.0,0.18149954635658497,40.31,0.4537488658914624,-39.75541805279933,4.989384364627779
