sample_id,scenario_family,scenario_label,common_family_shock,marginals_changed_from_reference,dependence_introduced,clean_addition_growth_rate,energy_gj_tco2,clean_deliverability_fraction,cost_usd_tco2,durability_fraction_100y,rebound_fraction_of_gross,storage_terminal_gtco2_y,aether_clean_share,execution_realization_fraction,robot_output_growth_rate,robots_per_mtco2_y_capacity,gross_overbuild_factor,residual_emissions_2046_gtco2_y,aether_robot_share,annual_budget_trillion_usd,clean_energy_available_twh_y,energy_limited_capacity_gtco2_y,robots_in_service_for_aether,robot_limited_capacity_gtco2_y,storage_capacity_gtco2_y,budget_limited_capacity_gtco2_y,program_execution_capacity_gtco2_y,gross_capacity_gtco2_y,durable_100y_credit_gtco2_y,rebound_gtco2_y,net_after_emissions_and_rebound_gtco2_y,binding_constraint,gross_100_pass,durable_100_pass,positive_climate_reversal_pass,strong_reversal_pass
independent_reference_0001,independent_reference,Independent reference,0.3513707172074365,0.0,0.0,0.05031402302780562,2.3882958145205055,0.8949636739450135,88.94107768057785,0.8975359355184517,0.3661713484503356,128.41194456700103,0.3213994518314612,0.7572717087051258,0.19005667077014277,349.3078912703485,1.1820812871755375,25.194800637514113,0.20469444090921574,12.764088693521742,8763.941959401234,13.210336367054566,16946842.364795443,48.51548673339119,128.41194456700103,143.51173862950674,89.51567161677738,13.210336367054566,11.856751609717744,4.837246681006878,-18.175295708803247,clean_energy,0.0,0.0,0.0,0.0
independent_reference_0002,independent_reference,Independent reference,0.3363540677568946,0.0,0.0,0.13555952901207577,2.5175662789657105,0.795647350172114,180.1775535374939,0.9107823995100596,0.14674605079668174,52.84763093812007,0.5072537291128714,0.9496051462809373,0.2326393107736795,164.35535653856772,1.195338054107566,25.598219883807932,0.3404703830821691,5.487353879301166,33998.7539292603,48.61660055107694,52091200.528094515,316.94251787814875,52.84763093812007,30.45525800281931,113.50991677259861,30.45525800281931,27.738112961505717,4.469188837907771,-2.3292957602099857,budget,0.0,0.0,0.0,0.0
independent_reference_0003,independent_reference,Independent reference,0.23613254245549786,0.0,0.0,0.1519735352237726,1.5777860042447045,0.6406125524298767,156.14720564516261,0.8506849098960879,0.24287866556851134,110.56598555536235,0.6349318925824743,1.0373951802669885,0.30286333281907285,86.50157810331723,1.1410781280886624,12.039352671331581,0.2211149264043562,3.257470647977791,42113.09326379685,96.08852869894983,90067447.67900293,1041.223173656169,110.56598555536235,20.861536615520638,118.37489503872558,20.861536615520638,17.74659439606811,5.066822174886291,0.6404195498502387,budget,0.0,0.0,1.0,0.0
independent_reference_0004,independent_reference,Independent reference,0.8844831113858885,0.0,0.0,0.17688289028648332,3.432787177957194,0.9967547001537231,196.27565933336385,0.939393066587185,0.3367765257589432,129.76135859473,0.6571513679222932,0.9592984862072224,0.27932415265565713,264.0464483438668,1.198483020478961,11.519340086940193,0.268894300215194,5.432872038217866,93098.86788221766,97.63376143097528,79240029.83481105,300.0988285652569,129.76135859473,27.67980531396621,114.97029472905267,27.67980531396621,26.002217196422976,9.321908667321473,5.160968442161309,budget,0.0,0.0,1.0,0.0
independent_reference_0005,independent_reference,Independent reference,0.2561461617422297,0.0,0.0,0.06616412582044029,2.8483293703307746,0.8272212890464345,105.80123826178384,0.7400527991751735,0.4980603622921511,130.0105553808798,0.3225844035956573,0.8673046909904608,0.17561127526375114,301.9523585320782,1.1978837190266824,17.510182051220593,0.29803971811997987,9.357232646808328,9735.198255997953,12.304305143447186,19962019.99743847,66.10983300306889,130.0105553808798,88.44161751354689,103.89301687729409,12.304305143447186,9.105835463313575,6.128286677498484,-14.5326332654055,clean_energy,0.0,0.0,0.0,0.0
independent_reference_0006,independent_reference,Independent reference,0.08908478901115302,0.0,0.0,0.07821496055549243,3.5777058323508837,0.6179512335780548,125.44857665300842,0.7447431828706412,0.3093836134223679,150.42825798575345,0.4808644657618094,0.8132066425101893,0.23389128690892466,137.38740495353966,1.193361828921047,9.636751126752332,0.12650516994762212,3.131331994451203,12471.395932226736,12.549110368449368,19702961.77091045,143.41170340595198,150.42825798575345,24.961080292783933,97.04497661967035,12.549110368449368,9.345864397993948,3.882489111026968,-4.173375839785352,clean_energy,0.0,0.0,0.0,0.0
independent_reference_0007,independent_reference,Independent reference,0.9984132417713432,0.0,0.0,0.1346622331645964,1.802036899588741,0.7473912298639389,150.72451698045134,0.8419805691933719,0.4442845834559249,92.1745335126938,0.3442669969532344,0.8840119655178971,0.2724635386346362,88.59016588238597,1.1330954309093602,24.30618641236928,0.37492425595310463,9.908346933911133,21433.538920679057,42.81862382066324,100453266.49828574,1133.9099040817855,92.1745335126938,65.7381236471053,100.1669918997532,42.81862382066324,36.05244925659891,19.023654448319313,-7.277391604089679,clean_energy,0.0,0.0,0.0,0.0
independent_reference_0008,independent_reference,Independent reference,0.03186944720176754,0.0,0.0,0.17877622823315997,1.6743424164654528,0.8403955129525247,81.50384709041342,0.8197888657695256,0.24581314069003862,86.7154882738235,0.4573226115749147,0.9791966225152939,0.29967294701327746,201.1596917161199,1.1799604895757139,14.433203944916304,0.18061452816760298,5.230056905333119,55965.55181641931,120.33141163826369,70430625.24246083,350.1229527725354,86.7154882738235,64.1694483394304,115.54133260940317,64.1694483394304,52.605399271237815,15.773693632662571,22.398501693658943,budget,0.0,0.0,1.0,0.0
independent_reference_0009,independent_reference,Independent reference,0.3282034163681983,0.0,0.0,0.20027577527381604,2.607198891104247,0.7613417029913208,87.74493882706997,0.7056067408583803,0.33371582000335637,149.58754423826412,0.5512551101191779,0.9615330488859544,0.24453576878077637,68.56404179014632,1.0845930530738774,10.785705967407885,0.2659942235172512,4.8188424138679,80561.36562621623,111.23850859400436,48178482.58612028,702.6785663187704,149.58754423826412,54.91875062292768,104.2872065122651,54.91875062292768,38.75104063905814,18.32725589769015,9.638078773960103,budget,0.0,0.0,1.0,0.0
independent_reference_0010,independent_reference,Independent reference,0.416796169734721,0.0,0.0,0.15022160281620547,4.075906790816925,0.9318952106539584,86.65541778491743,0.8111704544004086,0.22250181327638768,114.65575639535354,0.33776610607135227,1.0199802237587654,0.16079043881118416,119.82668451849275,1.235968762371933,8.017516120489706,0.22781219425807003,4.925863915490801,31876.456760603356,28.154531059620222,12252106.537142234,102.24856497011211,114.65575639535354,56.844269422565276,126.06636948029687,28.154531059620222,22.838123753062554,6.264434212711876,8.556173419860972,clean_energy,0.0,0.0,1.0,0.0
