failure_id,failure_description,parameter_multipliers,verification_overrides,scenario_id,case_label,interpretation,uptime_fraction,total_task_hours_y,task_labor_cost_usd_y,automation_system_cost_usd_y,limits,binding_limit,stop_triggered,stop_reasons,gross_capture_tco2_y,transport_loss_tco2_y,delivered_to_storage_tco2_y,injection_rejection_tco2_y,gross_stored_tco2_y,retained_tco2_y,project_emissions_tco2e_y,net_retained_tco2e_y,risk_adjusted_credits_tco2e_y,electricity_used_mwh_y,thermal_used_gj_y,annual_electricity_allowance_twh_y,requested_electricity_load_twh_y,allocated_electricity_twh_y,unserved_requested_load_twh_y,unallocated_electricity_allowance_twh_y,initial_state_gwh,final_state_gwh,storage_state_change_twh_y,current_load_service_tco2e_y,legacy_drawdown_service_tco2e_y,current_load_service_shortfall_tco2e_y,current_load_settlement_revenue_usd_y,legacy_drawdown_funding_usd_y,annual_capital_charge_usd_y,fixed_non_task_opex_usd_y,variable_nonenergy_opex_usd_y,electricity_cost_usd_y,thermal_cost_usd_y,transport_storage_cost_usd_y,reserve_contribution_usd_y,total_sources_usd_y,total_uses_usd_y,cash_balance_usd_y
electricity_delivery_half,Only half of baseline annual electricity is deliverable.,"{""electricity_budget"": 0.5}",{},ordinary_operations,Ordinary operations,"Reference operating organization at the NETL conceptual-case capacity factor; staffing hours are placeholders, not observed workforce data.",0.85,660000.0,56100000.0,0.0,"{""budget"": 951243.6498429656, ""electricity"": 515822.214887718, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 850000.0}",electricity,False,[],515822.214888,1031.64443,514790.570458,514.79057,514275.779887,511704.400988,27363.293285,484341.107703,460414.656982,275000.0,3531490.015446,0.275,0.45316,0.275,0.17816,0.0,0.0,0.0,0.0,460414.656982,0.0,139585.343018,120000000.0,180000000.0,40000000.0,25000000.0,23211999.669947,16500000.0,42377880.18535,10316444.297754,4604146.569824,300000000.0,218110470.722876,81889529.277124
electricity_delivery_half,Only half of baseline annual electricity is deliverable.,"{""electricity_budget"": 0.5}",{},automation_assisted,Automation-assisted operations,Mechanism test only: fewer task hours and higher uptime offset by an explicit automation-system cost. This is not field validation or a forecast cost reduction.,0.9,345000.0,29325000.0,12000000.0,"{""budget"": 1029804.9965530261, ""electricity"": 515822.214887718, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 900000.0}",electricity,False,[],515822.214888,1031.64443,514790.570458,514.79057,514275.779887,511704.400988,27363.293285,484341.107703,460414.656982,275000.0,3531490.015446,0.275,0.479816,0.275,0.204816,0.0,0.0,0.0,0.0,460414.656982,0.0,139585.343018,120000000.0,180000000.0,40000000.0,25000000.0,23211999.669947,16500000.0,42377880.18535,10316444.297754,4604146.569824,300000000.0,203335470.722876,96664529.277124
thermal_delivery_half,"Only half of the baseline annual thermal-service allowance, expressed as an HHV fuel-input-equivalent proxy, is available.","{""thermal_budget"": 0.5}",{},ordinary_operations,Ordinary operations,"Reference operating organization at the NETL conceptual-case capacity factor; staffing hours are placeholders, not observed workforce data.",0.85,660000.0,56100000.0,0.0,"{""budget"": 951243.6498429656, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 511222.66924463824, ""uptime"": 850000.0}",thermal,False,[],511222.669245,1022.445338,510200.223906,510.200224,509690.023682,507141.573564,27119.296976,480022.276587,456309.176124,272547.846883,3500000.0,0.55,0.45316,0.272548,0.180612,0.277452,0.0,0.0,0.0,456309.176124,0.0,143690.823876,120000000.0,180000000.0,40000000.0,25000000.0,23005020.116009,16352870.813004,42000000.0,10224453.384893,4563091.761241,300000000.0,217245436.075146,82754563.924854
thermal_delivery_half,"Only half of the baseline annual thermal-service allowance, expressed as an HHV fuel-input-equivalent proxy, is available.","{""thermal_budget"": 0.5}",{},automation_assisted,Automation-assisted operations,Mechanism test only: fewer task hours and higher uptime offset by an explicit automation-system cost. This is not field validation or a forecast cost reduction.,0.9,345000.0,29325000.0,12000000.0,"{""budget"": 1029804.9965530261, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 511222.66924463824, ""uptime"": 900000.0}",thermal,False,[],511222.669245,1022.445338,510200.223906,510.200224,509690.023682,507141.573564,27119.296976,480022.276587,456309.176124,272547.846883,3500000.0,0.55,0.479816,0.272548,0.207269,0.277452,0.0,0.0,0.0,456309.176124,0.0,143690.823876,120000000.0,180000000.0,40000000.0,25000000.0,23005020.116009,16352870.813004,42000000.0,10224453.384893,4563091.761241,300000000.0,202470436.075146,97529563.924854
storage_acceptance_half,Only half of baseline annual storage acceptance is available.,"{""storage_injection_budget"": 0.5}",{},ordinary_operations,Ordinary operations,"Reference operating organization at the NETL conceptual-case capacity factor; staffing hours are placeholders, not observed workforce data.",0.85,660000.0,56100000.0,0.0,"{""budget"": 951243.6498429656, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 476428.332139755, ""thermal"": 1022445.3384892765, ""uptime"": 850000.0}",storage,False,[],476428.33214,952.856664,475475.475475,475.475475,475000.0,472625.0,25273.529921,447351.470079,425252.307457,253997.962005,3261786.424598,0.55,0.45316,0.253998,0.199162,0.296002,0.0,0.0,0.0,425252.307457,0.0,174747.692543,120000000.0,180000000.0,40000000.0,25000000.0,21439274.946289,15239877.720305,39141437.095181,9528566.642795,4252523.074575,300000000.0,210701679.479146,89298320.520854
storage_acceptance_half,Only half of baseline annual storage acceptance is available.,"{""storage_injection_budget"": 0.5}",{},automation_assisted,Automation-assisted operations,Mechanism test only: fewer task hours and higher uptime offset by an explicit automation-system cost. This is not field validation or a forecast cost reduction.,0.9,345000.0,29325000.0,12000000.0,"{""budget"": 1029804.9965530261, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 476428.332139755, ""thermal"": 1022445.3384892765, ""uptime"": 900000.0}",storage,False,[],476428.33214,952.856664,475475.475475,475.475475,475000.0,472625.0,25273.529921,447351.470079,425252.307457,253997.962005,3261786.424598,0.55,0.479816,0.253998,0.225819,0.296002,0.0,0.0,0.0,425252.307457,0.0,174747.692543,120000000.0,180000000.0,40000000.0,25000000.0,21439274.946289,15239877.720305,39141437.095181,9528566.642795,4252523.074575,300000000.0,195926679.479146,104073320.520854
shrinking_current_load_revenue,The current-load settlement base falls by half without compensating legacy funding.,"{""current_load_subject_to_settlement"": 0.5}",{},ordinary_operations,Ordinary operations,"Reference operating organization at the NETL conceptual-case capacity factor; staffing hours are placeholders, not observed workforce data.",0.85,660000.0,56100000.0,0.0,"{""budget"": 632212.8002589638, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 850000.0}",budget,False,[],632212.800259,1264.425601,630948.374658,630.948375,630317.426284,627165.839152,33537.571227,593628.267926,564303.03149,337051.245668,4328338.577348,0.55,0.45316,0.337051,0.116109,0.212949,0.0,0.0,0.0,300000.0,264303.03149,0.0,60000000.0,180000000.0,40000000.0,25000000.0,28449576.011653,20223074.74009,51940062.928176,12644256.005179,5643030.314902,240000000.0,240000000.0,-0.0
shrinking_current_load_revenue,The current-load settlement base falls by half without compensating legacy funding.,"{""current_load_subject_to_settlement"": 0.5}",{},automation_assisted,Automation-assisted operations,Mechanism test only: fewer task hours and higher uptime offset by an explicit automation-system cost. This is not field validation or a forecast cost reduction.,0.9,345000.0,29325000.0,12000000.0,"{""budget"": 710774.1469690242, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 900000.0}",budget,False,[],710774.146969,1421.548294,709352.598675,709.352599,708643.246076,705100.029846,37705.086911,667394.942935,634425.632754,378934.611141,4866195.620917,0.55,0.479816,0.378935,0.100882,0.171065,0.0,0.0,0.0,300000.0,334425.632754,0.0,60000000.0,180000000.0,40000000.0,25000000.0,31984836.613606,22736076.668473,58394347.451,14215482.93938,6344256.32754,240000000.0,240000000.0,0.0
legacy_drawdown_funding_zero,"Current-load settlements remain, but the separate legacy-drawdown funding source is absent.","{""legacy_drawdown_funding"": 0.0}",{},ordinary_operations,Ordinary operations,"Reference operating organization at the NETL conceptual-case capacity factor; staffing hours are placeholders, not observed workforce data.",0.85,660000.0,56100000.0,0.0,"{""budget"": 0.0, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 850000.0}",budget,False,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.45316,0.0,0.45316,0.55,0.0,0.0,0.0,0.0,0.0,600000.0,120000000.0,0.0,40000000.0,25000000.0,0.0,0.0,0.0,0.0,0.0,120000000.0,121100000.0,-1100000.0
legacy_drawdown_funding_zero,"Current-load settlements remain, but the separate legacy-drawdown funding source is absent.","{""legacy_drawdown_funding"": 0.0}",{},automation_assisted,Automation-assisted operations,Mechanism test only: fewer task hours and higher uptime offset by an explicit automation-system cost. This is not field validation or a forecast cost reduction.,0.9,345000.0,29325000.0,12000000.0,"{""budget"": 72712.44780102043, ""electricity"": 1031644.429775436, ""nameplate"": 1000000.0, ""storage"": 952856.66427951, ""thermal"": 1022445.3384892765, ""uptime"": 900000.0}",budget,False,[],72712.447801,145.424896,72567.022905,72.567023,72494.455883,72131.983603,3857.243789,68274.739814,64901.967667,38765.14537,497813.541171,0.55,0.479816,0.038765,0.441051,0.511235,0.0,0.0,0.0,64901.967667,0.0,535098.032333,120000000.0,0.0,40000000.0,25000000.0,3272060.151046,2325908.72221,5973762.494052,1454248.95602,649019.676672,120000000.0,120000000.0,0.0
